Country,Gender,Age,EmploymentStatus,EmployerIndustry,FormalEducation,Major,CompensationAmount,CompensationCurrency,CurrentJobTitle,TitleFit,LanguageRecommendation,DataScienceIdentity,WorkDataVisualizations,JobSatisfaction,JobSatisfaction2,ConversionUSD
United States,Male,25,Employed full-time,Academic,Master's degree,Computer Science,20000,USD,Scientist/Researcher,Fine,Matlab,No,10-25% of projects,8,8,1
United States,Male,50,Employed full-time,Technology,Bachelor's degree,Mathematics or statistics,220000,USD,Software Developer/Software Engineer,Fine,C/C++/C#,Sort of (Explain more),76-99% of projects,9,9,1
United States,Male,31,Employed full-time,Government,Master's degree,Mathematics or statistics,105000,USD,Statistician,Fine,R,No,76-99% of projects,5,5,1
United States,Male,34,Employed full-time,Government,Master's degree,Engineering (non-computer focused),79000,USD,Operations Research Practitioner,Fine,R,Yes,26-50% of projects,8,8,1
Other,Male,53,Employed full-time,Manufacturing,Master's degree,Engineering (non-computer focused),175000,USD,Business Analyst,Fine,Python,Yes,76-99% of projects,6,6,1
United States,A different identity,45,Employed part-time,Academic,Master's degree,Other,20000,USD,Scientist/Researcher,Fine,R,Yes,76-99% of projects,7,7,1
India,Male,25,Employed full-time,Technology,Bachelor's degree,Engineering (non-computer focused),475000,INR,Machine Learning Engineer,Fine,R,Sort of (Explain more),26-50% of projects,3,3,0.0154
Brazil,Male,31,Employed full-time,Retail,Master's degree,Computer Science,100000,BRL,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),76-99% of projects,8,8,0.3134
Russia,Male,28,Employed full-time,Manufacturing,Doctoral degree,Other,484000,RUB,Computer Scientist,Fine,C/C++/C#,Sort of (Explain more),26-50% of projects,6,6,0.0172
Taiwan,Female,28,"Independent contractor, freelancer, or self-employed",Financial,Master's degree,A social science,1100000,TWD,Researcher,Perfectly,Python,Sort of (Explain more),10-25% of projects,8,8,0.0329
Japan,Male,42,Employed full-time,Technology,Bachelor's degree,Other,6500000,JPY,Other,Fine,Python,Sort of (Explain more),10-25% of projects,8,8,0.0089
Brazil,Male,31,Employed full-time,Academic,Master's degree,Computer Science,80000,BRL,Scientist/Researcher,Fine,Python,Sort of (Explain more),Less than 10% of projects,6,6,0.3134
Taiwan,Male,26,Employed full-time,Government,Master's degree,Computer Science,648000,TWD,Programmer,Poorly,Python,Yes,None,4,4,0.0329
India,Male,24,Employed full-time,Retail,Some college/university study without earning a bachelor's degree,Computer Science,2200000,INR,Software Developer/Software Engineer,Perfectly,R,Sort of (Explain more),51-75% of projects,5,5,0.0154
United States,Male,30,Employed full-time,Academic,Master's degree,Computer Science,38000,USD,Computer Scientist,Fine,Python,Sort of (Explain more),Less than 10% of projects,6,6,1
Japan,Male,33,Employed full-time,Technology,Master's degree,Physics,7000000,JPY,Data Analyst,Fine,Other,Yes,10-25% of projects,3,3,0.0089
United States,Female,38,Employed full-time,Government,Master's degree,Computer Science,65000,USD,DBA/Database Engineer,Fine,SAS,Yes,51-75% of projects,5,5,1
United States,Male,30,Employed full-time,Government,Master's degree,A social science,65000,USD,Other,Poorly,SQL,Yes,10-25% of projects,8,8,1
People 's Republic of China,Male,29,Employed full-time,Technology,Master's degree,Electrical Engineering,300000,CNY,Machine Learning Engineer,Fine,Python,Yes,76-99% of projects,5,5,0.148
Australia,Female,38,Employed full-time,Academic,Master's degree,"Information technology, networking, or system administration",27000,AUD,Researcher,Fine,Python,Yes,100% of projects,8,8,0.7669
Russia,Male,44,Employed full-time,Telecommunications,Master's degree,Mathematics or statistics,700000,RUB,Data Analyst,Poorly,Python,Yes,Less than 10% of projects,6,6,0.0172
United States,Male,23,Employed full-time,Other,Bachelor's degree,Mathematics or statistics,71500,USD,Other,Fine,Python,No,76-99% of projects,3,3,1
United States,Male,37,Employed full-time,CRM/Marketing,Bachelor's degree,Computer Science,180000,USD,Software Developer/Software Engineer,Perfectly,Python,Yes,None,9,9,1
United States,Male,39,Employed full-time,Financial,Bachelor's degree,Computer Science,115000,USD,Other,Fine,R,Sort of (Explain more),10-25% of projects,3,3,1
United States,Male,25,Employed full-time,Academic,Master's degree,Mathematics or statistics,20000,USD,Machine Learning Engineer,Fine,R,Yes,100% of projects,7,7,1
United States,Male,33,Employed full-time,Pharmaceutical,Bachelor's degree,Computer Science,107000,USD,Data Analyst,Fine,Python,Sort of (Explain more),100% of projects,9,9,1
United States,Male,49,Employed full-time,Other,Doctoral degree,A health science,125000,USD,Scientist/Researcher,Fine,R,Sort of (Explain more),26-50% of projects,8,8,1
Australia,Male,35,Employed full-time,Internet-based,Bachelor's degree,Computer Science,116000,AUD,Software Developer/Software Engineer,Perfectly,Python,No,Less than 10% of projects,7,7,0.7669
Australia,Female,48,"Independent contractor, freelancer, or self-employed",Government,Master's degree,A humanities discipline,250000,AUD,Data Analyst,Poorly,R,No,26-50% of projects,5,5,0.7669
United States,Male,31,Employed full-time,Hospitality/Entertainment/Sports,Master's degree,Electrical Engineering,67000,USD,DBA/Database Engineer,Fine,Python,Sort of (Explain more),76-99% of projects,4,4,1
Switzerland,Male,27,"Independent contractor, freelancer, or self-employed",Mix of fields,Bachelor's degree,Psychology,85000,USD,Data Analyst,Fine,R,Sort of (Explain more),76-99% of projects,9,9,1
India,Male,35,Employed full-time,Technology,Bachelor's degree,Computer Science,1500000,INR,Researcher,Fine,Python,Yes,10-25% of projects,6,6,0.0154
India,Female,30,Employed full-time,Technology,Bachelor's degree,Management information systems,3000000,INR,Other,Poorly,R,No,100% of projects,3,3,0.0154
People 's Republic of China,Male,29,Employed full-time,Hospitality/Entertainment/Sports,Master's degree,Engineering (non-computer focused),180000,CNY,Business Analyst,Fine,Python,Yes,76-99% of projects,5,5,0.148
India,Male,34,Employed full-time,Government,Master's degree,Computer Science,100000,INR,Computer Scientist,Fine,R,Yes,Less than 10% of projects,10 - Highly Satisfied,10,0.0154
Argentina,Male,50,Employed full-time,Other,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",45000,USD,Business Analyst,Fine,R,Sort of (Explain more),51-75% of projects,10 - Highly Satisfied,10,1
Taiwan,Male,38,Employed full-time,Academic,Doctoral degree,Management information systems,27000,USD,Scientist/Researcher,Fine,Python,Yes,100% of projects,8,8,1
India,Male,22,Employed full-time,Technology,Bachelor's degree,Computer Science,420000,INR,Software Developer/Software Engineer,Fine,Python,No,51-75% of projects,5,5,0.0154
United States,Female,32,Employed full-time,Technology,Doctoral degree,Computer Science,305000,USD,Machine Learning Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,7,7,1
India,Male,25,Employed full-time,Technology,Master's degree,Computer Science,470000,INR,Other,Fine,R,Sort of (Explain more),Less than 10% of projects,8,8,0.0154
Canada,Male,28,Employed full-time,Hospitality/Entertainment/Sports,Bachelor's degree,A social science,70000,CAD,Data Analyst,Perfectly,Python,Sort of (Explain more),51-75% of projects,10 - Highly Satisfied,10,0.7713
United States,Male,50,Employed full-time,Technology,Bachelor's degree,Electrical Engineering,1000000,USD,Researcher,Poorly,Python,No,100% of projects,5,5,1
United States,Male,24,"Independent contractor, freelancer, or self-employed",Financial,Bachelor's degree,Mathematics or statistics,95000,USD,Business Analyst,Poorly,Python,Yes,76-99% of projects,3,3,1
United States,Male,44,Employed full-time,Government,Doctoral degree,Other,120000,USD,Scientist/Researcher,Perfectly,SAS,No,100% of projects,3,3,1
United States,Male,35,Employed full-time,Hospitality/Entertainment/Sports,Doctoral degree,Electrical Engineering,150000,USD,Machine Learning Engineer,Fine,Python,Yes,26-50% of projects,6,6,1
Australia,Female,25,Employed part-time,Mix of fields,Master's degree,Mathematics or statistics,65000,AUD,Data Miner,Fine,Python,Sort of (Explain more),51-75% of projects,7,7,0.7669
Singapore,Male,23,Employed part-time,Mix of fields,Bachelor's degree,Mathematics or statistics,6000,SGD,Other,Poorly,R,Sort of (Explain more),Less than 10% of projects,6,6,0.7245
People 's Republic of China,Male,35,Employed full-time,Internet-based,I prefer not to answer,Computer Science,240000,CNY,Business Analyst,Fine,Python,No,10-25% of projects,5,5,0.148
United States,Male,40,Employed full-time,Telecommunications,Master's degree,Mathematics or statistics,100000,USD,Software Developer/Software Engineer,Fine,Python,No,None,5,5,1
United States,Male,34,Employed full-time,Technology,Bachelor's degree,A social science,115500,USD,Data Analyst,Fine,Python,Sort of (Explain more),51-75% of projects,7,7,1
United States,Male,29,Employed full-time,Technology,Doctoral degree,Mathematics or statistics,172000,USD,Scientist/Researcher,Fine,Python,Yes,26-50% of projects,9,9,1
Other,Male,24,Employed part-time,Financial,Bachelor's degree,Computer Science,1000,USD,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),Less than 10% of projects,5,5,1
Indonesia,Male,31,Employed full-time,Financial,Master's degree,Computer Science,10000,USD,Software Developer/Software Engineer,Perfectly,Python,No,Less than 10% of projects,7,7,1
Canada,Male,27,Employed full-time,Academic,Bachelor's degree,Engineering (non-computer focused),30000,CAD,Scientist/Researcher,Fine,Python,No,100% of projects,3,3,0.7713
United States,Male,21,Employed full-time,Technology,Bachelor's degree,Computer Science,110000,USD,Machine Learning Engineer,Fine,Python,No,100% of projects,9,9,1
India,Male,29,Employed full-time,Insurance,Master's degree,Computer Science,1500000,INR,Business Analyst,Perfectly,SQL,Sort of (Explain more),51-75% of projects,8,8,0.0154
Australia,Male,40,Employed full-time,Technology,Bachelor's degree,Computer Science,120000,AUD,Software Developer/Software Engineer,Perfectly,Python,No,Less than 10% of projects,4,4,0.7669
India,Male,30,Employed full-time,Academic,Master's degree,Electrical Engineering,700000,INR,Machine Learning Engineer,Fine,Matlab,Sort of (Explain more),10-25% of projects,8,8,0.0154
India,Male,39,Employed full-time,Academic,Master's degree,Computer Science,100000,INR,Other,Fine,R,Sort of (Explain more),26-50% of projects,8,8,0.0154
Canada,Male,23,Employed full-time,Financial,Master's degree,Computer Science,72000,CAD,Data Analyst,Fine,Python,No,76-99% of projects,5,5,0.7713
Canada,Female,61,"Independent contractor, freelancer, or self-employed",Technology,Bachelor's degree,Mathematics or statistics,70000,CAD,Business Analyst,Poorly,SQL,Sort of (Explain more),10-25% of projects,5,5,0.7713
United States,Female,50,Employed full-time,Academic,Doctoral degree,Electrical Engineering,120000,USD,Scientist/Researcher,Fine,Python,Yes,100% of projects,8,8,1
Singapore,Male,34,Employed full-time,Government,Doctoral degree,Computer Science,80000,SGD,Scientist/Researcher,Fine,Python,Yes,26-50% of projects,4,4,0.7245
Pakistan,Male,36,Employed full-time,Technology,Bachelor's degree,Computer Science,30000,USD,Programmer,Perfectly,R,Yes,Less than 10% of projects,10 - Highly Satisfied,10,1
Colombia,Male,29,Employed full-time,Other,Master's degree,Engineering (non-computer focused),4000000,COP,Business Analyst,Perfectly,Python,Yes,26-50% of projects,7,7,3e-4
