Country,Gender,Age,Major,FormalEducation,CompensationAmount,CompensationCurrency,LanguageRecommendation
Russia,Male,30,Computer Science,Master's degree,30000,USD,Python
Singapore,Female,31,Mathematics or statistics,Master's degree,55200,SGD,Scala
France,Male,25,Mathematics or statistics,Master's degree,47000,EUR,R
Russia,Male,23,"Information technology, networking, or system administration",Some college/university study without earning a bachelor's degree,256,RUB,Python
France,Female,25,Management information systems,Master's degree,36000,EUR,SQL
Finland,Male,35,Engineering (non-computer focused),Master's degree,50000,EUR,R
Poland,Male,22,Computer Science,Some college/university study without earning a bachelor's degree,3000,PLN,Python
United Kingdom,Female,33,"Information technology, networking, or system administration",Bachelor's degree,40000,GBP,Python
Japan,Male,40,Electrical Engineering,Bachelor's degree,7000000,JPY,Python
Mexico,Male,24,Computer Science,Some college/university study without earning a bachelor's degree,96200,MXN,Python
Russia,Male,21,Computer Science,Bachelor's degree,60000,RUB,Python
India,Male,26,Computer Science,Master's degree,700000,INR,R
India,Male,41,"Information technology, networking, or system administration",Master's degree,70000,INR,Python
France,Female,26,Mathematics or statistics,Master's degree,43000,EUR,R
India,Male,40,Physics,Doctoral degree,50000,INR,Python
Other,Female,35,Fine arts or performing arts,Doctoral degree,12400,EUR,R
People 's Republic of China,Male,32,Mathematics or statistics,Bachelor's degree,500000,CNY,Python
Republic of China,Male,24,Other,Bachelor's degree,150000,CNY,Python
Russia,Male,35,"Information technology, networking, or system administration",Bachelor's degree,45000,USD,SQL
Taiwan,Male,47,Electrical Engineering,Master's degree,120000,USD,Python
Spain,Male,49,Computer Science,Master's degree,60000,EUR,Python
Spain,Male,23,Electrical Engineering,Master's degree,12000,EUR,Python
Taiwan,Male,32,Computer Science,Doctoral degree,1000000,USD,Python
Netherlands,Male,52,Electrical Engineering,Master's degree,60000,EUR,Python
India,Male,22,Computer Science,Bachelor's degree,25000,INR,Other
France,Male,24,"Information technology, networking, or system administration",Doctoral degree,24000,EUR,Python
India,Male,23,Electrical Engineering,Bachelor's degree,39600,SGD,Matlab
Russia,Male,25,Electrical Engineering,Master's degree,73000,RUB,Python
France,Male,32,Mathematics or statistics,Master's degree,42000,EUR,R
Romania,Female,29,Other,Master's degree,30000,EUR,R
Netherlands,Male,34,A social science,Doctoral degree,50000,EUR,R
Russia,Male,21,Computer Science,Bachelor's degree,20400,EUR,Python
Republic of China,Male,26,Electrical Engineering,Master's degree,10000,CNY,Python
Other,Male,29,Mathematics or statistics,Master's degree,485,USD,R
United Kingdom,Male,35,Computer Science,Master's degree,50000,GBP,Python
India,Male,23,Computer Science,Bachelor's degree,2250000,INR,Python
Germany,Male,40,Computer Science,Master's degree,50000,EUR,R
Japan,Male,27,Biology,Master's degree,650,JPY,Python
India,Male,28,Computer Science,Master's degree,10000,USD,SQL
Netherlands,Male,73,Electrical Engineering,Bachelor's degree,40000,EUR,Scala
India,Male,23,Mathematics or statistics,Bachelor's degree,2000,USD,Python
Italy,Male,25,Computer Science,Master's degree,12000,EUR,Python
Spain,Male,32,Computer Science,Doctoral degree,15000,EUR,Python
India,Male,23,Electrical Engineering,Bachelor's degree,400000,INR,Python
India,Female,30,Mathematics or statistics,Doctoral degree,650000,INR,R
India,Male,24,Computer Science,Bachelor's degree,1600000,INR,Python
Switzerland,Female,33,Other,Master's degree,150000,CHF,Python
France,Male,23,Computer Science,Master's degree,6000,EUR,Python
Russia,Male,23,Mathematics or statistics,Master's degree,1380000,RUB,Python
Ukraine,Male,32,Computer Science,Master's degree,45000,USD,Python
Russia,Male,50,Physics,Doctoral degree,33000,USD,R
Nigeria,Male,29,Mathematics or statistics,Master's degree,36000,USD,Python
Netherlands,Male,46,Computer Science,Master's degree,150000,EUR,Python
India,Male,30,Computer Science,Doctoral degree,60000,INR,Python
United Kingdom,Male,27,Other,Bachelor's degree,30000,GBP,Python
India,Male,23,Computer Science,Bachelor's degree,2000000,INR,Python
Spain,Male,37,Computer Science,Master's degree,33000,EUR,Python
India,Male,39,Other,Doctoral degree,1500000,INR,Matlab
India,Male,30,Computer Science,Master's degree,400000,INR,Python
India,Male,22,Computer Science,Bachelor's degree,575000,INR,Python
India,Male,40,Engineering (non-computer focused),Bachelor's degree,2600000,INR,R
India,Male,25,Computer Science,Bachelor's degree,23000000,INR,Scala
