Decision,Gender,Dept
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Admit,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Reject,Male,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Admit,Female,A
Reject,Female,A
Reject,Female,A
Reject,Female,A
Reject,Female,A
Reject,Female,A
Reject,Female,A
Reject,Female,A
Reject,Female,A
Reject,Female,A
Reject,Female,A
Reject,Female,A
Reject,Female,A
Reject,Female,A
Reject,Female,A
Reject,Female,A
Reject,Female,A
Reject,Female,A
Reject,Female,A
Reject,Female,A
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Admit,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Reject,Male,B
Admit,Female,B
Admit,Female,B
Admit,Female,B
Admit,Female,B
Admit,Female,B
Admit,Female,B
Admit,Female,B
Admit,Female,B
Admit,Female,B
Admit,Female,B
Admit,Female,B
Admit,Female,B
Admit,Female,B
Admit,Female,B
Admit,Female,B
Admit,Female,B
Admit,Female,B
Reject,Female,B
Reject,Female,B
Reject,Female,B
Reject,Female,B
Reject,Female,B
Reject,Female,B
Reject,Female,B
Reject,Female,B
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
Admit,Male,C
